"ori_node";"des_node";"ori_layer"
250;37229;2
250;39448;2
255;33245;2
255;51077;2
334;24921;2
334;26522;2
335;9685;2
335;30363;2
336;16766;2
336;44995;2
349;6799;2
349;10546;2
349;20375;2
351;58;2
351;31956;2
351;34697;2
351;45027;2
385;13385;2
385;97757;2
385;169164;2
385;203304;2
390;9323;2
390;30421;2
413;3628;2
413;16439;2
413;32297;2
435;3960;2
435;39495;2
474;6705;2
474;12677;2
474;29621;2
474;32698;2
474;34766;2
510;43634;2
510;45443;2
513;19294;2
513;165193;2
549;3768;2
549;28368;2
549;47427;2
570;4670;2
570;7398;2
570;10441;2
570;22463;2
570;23471;2
570;25625;2
570;25882;2
570;33602;2
570;35458;2
570;37496;2
570;41573;2
570;45149;2
570;48882;2
608;20249;2
608;22298;2
608;40903;2
608;42836;2
636;4294;2
636;7398;2
636;14170;2
636;17510;2
636;19445;2
636;22304;2
636;40760;2
638;24054;2
638;35789;2
638;37853;2
638;47235;2
645;3333;2
645;28720;2
645;35722;2
645;45229;2
645;45264;2
645;46622;2
645;225617;2
647;23103;2
649;23116;2
649;32235;2
708;4670;2
708;6367;2
708;24372;2
708;37496;2
708;48882;2
727;18397;2
727;40508;2
727;45767;2
811;5892;2
811;22272;2
811;23690;2
811;48591;2
813;16358;2
813;152968;2
816;1986;2
816;23407;2
816;25815;2
816;30453;2
816;33405;2
832;8076;2
832;41040;2
843;22331;2
843;24142;2
843;35373;2
843;45479;2
858;10217;2
858;16866;2
885;9323;2
885;37700;2
887;29173;2
887;41462;2
906;4515;2
906;26198;2
915;2837;2
915;12956;2
915;21666;2
915;27699;2
915;30473;2
915;34872;2
915;234857;2
925;25903;2
925;31444;2
961;10059;2
961;16308;2
961;26771;2
961;49861;2
961;85581;2
962;8773;2
962;27133;2
962;44677;2
998;5044;2
998;12686;2
998;34524;2
1051;4704;2
1051;12528;2
1051;39598;2
1065;15342;2
1065;34260;2
1082;4704;2
1082;5334;2
1082;14596;2
1082;33015;2
1082;37047;2
1082;40513;2
1112;7948;2
1112;22268;2
1113;4598;2
1113;41890;2
1113;45479;2
1133;7300;2
1133;13745;2
1176;5797;2
1176;24439;2
1176;43369;2
1176;49694;2
1201;26988;2
1201;36161;2
1231;30332;2
1231;42596;2
1234;5736;2
1234;22304;2
1236;4454;2
1236;10275;2
1236;11927;2
1236;19967;2
1236;21036;2
1236;27511;2
1236;32014;2
1236;37700;2
1254;5316;2
1264;3517;2
1264;14605;2
1267;12913;2
1267;39815;2
1267;50493;2
1268;18610;2
1268;31116;2
1270;3958;2
1270;11604;2
1290;3479;2
1290;121355;2
1297;19030;2
1297;51077;2
1411;5631;2
1411;15922;2
1411;37348;2
1456;17037;2
1456;24693;2
1476;11214;2
1476;14588;2
1478;24799;2
1481;10843;2
1481;29097;2
1495;4229;2
1495;5780;2
1495;7458;2
1495;7616;2
1495;9255;2
1495;10761;2
1495;13573;2
1495;16230;2
1495;28672;2
1495;33800;2
1495;36360;2
1495;41040;2
1495;42049;2
1495;46952;2
1508;4330;2
1508;29406;2
1594;11357;2
1594;50640;2
1594;175646;2
1623;29338;2
1673;31029;2
1673;32893;2
1673;45333;2
1673;107204;2
1673;158338;2
1677;11992;2
1677;31344;2
1677;40242;2
1693;31323;2
1693;45865;2
1695;66;2
1695;1872;2
1695;33919;2
1695;40031;2
1695;246865;2
1806;9470;2
1806;14257;2
1807;2383;2
1807;6777;2
1807;7300;2
1807;7611;2
1807;11603;2
1807;13167;2
1807;18293;2
1807;18855;2
1807;20400;2
1807;22082;2
1807;25815;2
1807;29725;2
1807;31338;2
1807;40896;2
1807;40903;2
1807;42150;2
1807;43262;2
1807;46685;2
1807;46771;2
1807;48572;2
1807;51183;2
1807;51224;2
1828;16401;2
1828;23055;2
1828;48687;2
1833;5515;2
1833;32933;2
1872;1695;2
1872;40031;2
1872;253293;2
1873;4485;2
1873;5621;2
1873;16214;2
1876;35060;2
1876;42234;2
1893;2660;2
1893;7263;2
1893;10766;2
1893;11353;2
1898;961;2
1898;10059;2
1898;85581;2
1898;256453;2
1899;19924;2
1899;22658;2
1902;19715;2
1902;43846;2
1943;8290;2
1943;9850;2
1943;11186;2
1943;17812;2
1943;19863;2
1943;21758;2
1943;25380;2
1943;37358;2
1943;41487;2
1945;30354;2
1945;45019;2
1945;168730;2
1965;5044;2
1965;5746;2
1965;6771;2
1965;10018;2
1965;10761;2
1965;32625;2
1965;46470;2
1969;10729;2
1969;27700;2
1969;50640;2
1969;50958;2
1977;43201;2
1977;204409;2
1978;18978;2
1978;77353;2
1986;816;2
1986;9433;2
2001;12162;2
2001;15798;2
2001;31624;2
2001;47506;2
2014;8561;2
2014;8930;2
2014;9429;2
2014;10761;2
2014;22604;2
2014;24813;2
2014;39358;2
2014;40101;2
2014;44388;2
2014;49732;2
2014;50640;2
2029;4515;2
2029;18990;2
2029;37490;2
2058;37358;2
2058;40739;2
2058;41487;2
2089;7065;2
2089;7398;2
2089;10893;2
2089;14170;2
2089;23304;2
2089;28919;2
2089;29943;2
2089;42018;2
2089;45837;2
2089;51185;2
2097;24798;2
2097;28558;2
2106;13554;2
2106;46564;2
2141;77;2
