source;target;layer;year
442978;1695628;collab;2007
40422583;1991506;collab;1998
1548597;1688876;collab;2006
23483938;1417835;collab;2002
738673;92804;collab;2006
1493033;2343768;collab;2007
501775;1598769;collab;2004
1807506;3315271;collab;2006
3832279;3520741;collab;2009
436647;1769228;collab;2000
755515;441490;collab;2005
332741;1148867;collab;2000
524350;40422587;collab;1989
2282500;2167811;collab;2000
332741;49740233;collab;2000
16649;2343319;collab;2008
53761504;17902638;collab;1998
256291;53786510;collab;2004
1818317;3577492;collab;2011
3832269;2798309;collab;2009
145518;1276964;collab;2002
3859512;9253;collab;2003
92804;579503;collab;2002
819325;169069;collab;2011
772610;463577;collab;1997
1819426;384014;collab;2005
47593436;1108299;collab;2007
583330;379416;collab;2003
852431;1628808;collab;1999
634165;1461050;collab;1999
3317401;50412641;collab;2002
49939857;53650693;collab;2000
373254;42138;collab;2008
2298592;436647;collab;2009
3462423;2164557;collab;2005
181077;954490;collab;2000
1807506;1269985;collab;2006
740002;3530351;collab;2007
503438;592315;collab;2001
9424424;2262242;collab;2010
1000284;1902888;collab;1997
1633442;1219483;collab;2000
10832690;1356259;collab;1999
3439731;3629706;collab;2009
1094428;1417835;collab;2003
53635770;3317401;collab;2002
498071;2181032;collab;2003
1520745;616265;collab;2004
10517575;1521045;collab;1981
20544;1058778;collab;2008
282750;3832274;collab;2009
2340538;1123088;collab;2010
585496;403822;collab;2003
10707577;1536874;collab;2004
2456978;616265;collab;1999
1925409;795368;collab;2004
3499022;688801;collab;2011
520332;2616261;collab;2009
5201914;18487991;collab;2010
353523;286931;collab;1990
2539048;3549915;collab;2009
53933045;1990966;collab;1984
630735;244466;collab;2000
57153;21818626;collab;1998
4040114;3635891;collab;2009
2314808;1536874;collab;2002
795368;413263;collab;2000
181077;1017214;collab;1993
699977;47745330;collab;1997
134086;3461840;collab;2007
305047;53786510;collab;2006
55175564;1147403;collab;2003
3629710;54170929;collab;2009
1623165;708524;collab;2004
181077;103922;collab;1993
1818317;2972930;collab;2011
390017;185676;collab;1993
10521580;53761504;collab;2004
2114277;2677845;collab;2003
9126447;2164557;collab;2007
17997458;3549915;collab;2008
53157704;160374;collab;1997
3379355;994018;collab;2007
2263719;1993470;collab;2000
2122309;994018;collab;1985
390017;220129;collab;1993
342551;955657;collab;1998
18461058;310405;collab;2000
633471;1058778;collab;2005
1417835;2229939;collab;2005
229417;58727;collab;1993
