source;target;layer;year
59042;60393;collab;1999
524350;49939857;collab;2000
99175;903151;collab;2007
907095;1498760;collab;1984
26112;384014;collab;2001
2263719;625296;collab;2009
3005767;3316959;collab;2011
9432025;3576684;collab;2010
433468;306675;collab;1995
3545865;1399202;collab;2009
3407799;45178;collab;2004
10527234;1488310;collab;1987
3823153;2298592;collab;2010
2942195;282053;collab;2009
2497651;867633;collab;1993
1633442;3325711;collab;1997
12518928;47527854;collab;2008
10223630;10531989;collab;1978
1826743;93400;collab;2011
4040114;2539048;collab;2009
561063;1047296;collab;2007
601959;53159713;collab;1996
1026002;6923352;collab;2011
2314808;1148867;collab;2004
1137683;83891;collab;1996
893694;9095805;collab;2003
1554243;1456480;collab;2004
255921;1388049;collab;2010
58809;385346;collab;2010
1456480;152072;collab;2010
668017;18461058;collab;2000
1479429;651512;collab;2011
4212278;3322859;collab;2000
3377753;18046451;collab;2006
348009;936807;collab;2009
169069;755515;collab;2011
3308035;731329;collab;2006
879548;253283;collab;2004
2241634;413263;collab;2002
12414989;54557867;collab;2003
3409131;23483938;collab;2006
3836999;1200530;collab;2011
1533004;551752;collab;2002
1253699;1894512;collab;2005
3365458;181077;collab;2001
47500952;53459083;collab;1976
1456480;3546571;collab;2010
494965;1819604;collab;2007
85018;552;collab;1984
221066;1780247;collab;2008
3823153;3308035;collab;2010
332741;181077;collab;2000
21997;1633442;collab;2008
98177;53990690;collab;1987
10566653;12131332;collab;1996
42138;695562;collab;1990
34063294;10351478;collab;2011
384014;257916;collab;2007
47382659;1494848;collab;1998
64290;3365244;collab;1981
46356;181077;collab;1999
1243408;1142659;collab;2004
281152;1560592;collab;2000
53157704;80674;collab;1997
2343768;1176051;collab;2006
140972;632279;collab;1997
1200530;601959;collab;2004
16649;1095257;collab;2003
3629680;545624;collab;2008
10506252;1827172;collab;2000
1831234;1745056;collab;2003
616265;1633442;collab;1994
1123088;431388;collab;2002
56540832;56151671;collab;2002
59042;194289;collab;2008
1924104;304424;collab;1997
136487;652039;collab;2008
50897485;939214;collab;2011
54300363;462710;collab;1978
3629694;709570;collab;2010
3629707;54170929;collab;2009
695126;1464329;collab;2009
53178498;421979;collab;1997
1311173;1219483;collab;2003
3560503;664109;collab;2008
3542318;348338;collab;2011
603879;666332;collab;2007
1184516;2295139;collab;2006
3544435;602537;collab;2008
127219;79857;collab;2005
193776;668017;collab;2002
564386;4040114;collab;2011
2091130;300644;collab;2003
1695628;237813;collab;2007
616265;393752;collab;2004
34063335;502782;collab;2011
524350;603598;collab;1989
17935198;24057189;collab;2010
177276;1200530;collab;2005
875189;1710871;collab;2004
393752;10517494;collab;2003
3017784;2696239;collab;2010
21997;755515;collab;2010
755515;602265;collab;2006
55175564;47639686;collab;2003
52565120;47652218;collab;1984
177276;257916;collab;2005
305047;180240;collab;2005
13421357;3313407;collab;2009
3316959;709570;collab;2008
40422592;502619;collab;1993
3643460;524131;collab;2010
3661660;2262242;collab;2009
783089;1199500;collab;2006
92804;281152;collab;2001
54253983;10517486;collab;1993
52626685;3365218;collab;1985
9170123;46908609;collab;2005
221066;1370132;collab;2008
10497479;1327835;collab;1990
2091130;1536874;collab;2003
194796;9095805;collab;2001
846388;2843518;collab;2008
2091130;1554243;collab;2003
819325;587345;collab;2009
3379355;1633442;collab;2007
21997;1236476;collab;2008
586915;16649;collab;2007
2539048;3616121;collab;2010
3439731;688801;collab;2004
487100;10557191;collab;2006
691155;10498782;collab;1988
93400;2713315;collab;2009
715211;1152168;collab;2009
3506430;2677845;collab;2008
174573;35604900;collab;1982
3832257;196752;collab;2009
145518;1691800;collab;2003
1208922;1456480;collab;1996
1911914;1695628;collab;2011
1706932;64290;collab;1984
240939;1091668;collab;2009
18208852;527346;collab;2009
430541;561063;collab;1996
53761504;54170929;collab;1998
53402331;98177;collab;1990
794527;1894512;collab;2004
1696949;149201;collab;2011
1176515;3078696;collab;2011
5819944;3618381;collab;2010
9668529;3484733;collab;2011
3832286;3506430;collab;2009
12139702;1695628;collab;2001
3299730;47707899;collab;1992
1053557;55177847;collab;2003
1536874;561063;collab;1989
1990966;48416589;collab;2004
9432054;1185759;collab;2010
524350;1740723;collab;2000
957070;10497604;collab;2004
1911914;2295139;collab;2007
441589;527346;collab;2007
6923352;731329;collab;1999
3537479;583330;collab;2009
3322859;50412641;collab;2007
105314;1123088;collab;2009
3629750;1902888;collab;2008
3377414;56540832;collab;2001
10506252;2461724;collab;2000
55781627;498071;collab;2011
353523;40419564;collab;2003
1500881;463577;collab;2004
12925057;1058778;collab;2004
3577492;3439731;collab;2012
594319;2769047;collab;2010
459290;1542517;collab;2005
167442;1265522;collab;2000
1200159;2343768;collab;2007
22923487;54470958;collab;1997
632599;688801;collab;2008
738787;55058764;collab;2004
1548517;54814826;collab;1990
10219425;929601;collab;2001
616265;1633442;collab;1997
18046451;1265522;collab;1997
408891;10545203;collab;1987
1512881;1410373;collab;2005
840008;954490;collab;2003
3096583;294906;collab;2011
588349;20544;collab;2011
52933352;23354738;collab;1992
20544;122030;collab;2007
232462;256291;collab;1999
1970849;2241634;collab;2011
18208852;2494162;collab;2009
781239;1781284;collab;1999
20544;1745056;collab;2010
502619;3365445;collab;1989
3823274;740002;collab;2011
601959;856095;collab;2007
20544;3632732;collab;2010
51395604;48496069;collab;1982
846388;586915;collab;2007
3462402;2229939;collab;2005
1357196;1902888;collab;2008
323277;149201;collab;2010
1461050;47665239;collab;1988
3179124;632279;collab;1987
3832251;3564951;collab;2011
299889;52276208;collab;1992
561063;1536874;collab;2002
49939857;1494848;collab;1995
734167;10832690;collab;2005
3544515;1644999;collab;2009
1573733;2343319;collab;2009
3563293;384014;collab;2009
9236988;1142659;collab;2009
96914;97170;collab;2003
1467208;18461058;collab;2002
5672440;53307089;collab;2011
21997;149201;collab;2008
1805173;2518238;collab;2009
3635905;2298592;collab;2010
384014;26112;collab;2001
1361575;3629694;collab;2011
362739;129563;collab;1989
17902638;53761504;collab;2000
1771176;199499;collab;2011
731329;114000;collab;1981
3832289;2474635;collab;2008
2689917;937815;collab;2011
135668;21997;collab;2011
1623165;795368;collab;2009
2078186;872006;collab;2002
154743;795368;collab;2007
3316959;994018;collab;2009
1128738;145518;collab;2006
1826743;1202049;collab;2011
563416;160374;collab;2004
3365225;21637031;collab;1990
1915999;50742233;collab;2009
524131;1208922;collab;2012
757952;52818972;collab;2008
299484;795368;collab;2010
1233948;1695628;collab;2009
80674;2033428;collab;1995
3496607;781239;collab;2010
40422591;1044933;collab;1990
1786377;601959;collab;2002
47382659;53650693;collab;2000
3331222;18046451;collab;2002
10224196;976195;collab;2010
1025204;84674;collab;2001
3823153;1031845;collab;2010
9431998;513831;collab;2010
3317730;599167;collab;2009
12518928;436647;collab;2009
1479429;1819604;collab;2011
21116;1955606;collab;2003
40420210;52276208;collab;1993
2194916;1990966;collab;1997
3832289;1456480;collab;2010
1826743;773154;collab;2011
64290;417545;collab;2003
227307;64290;collab;1999
3832253;1142659;collab;2009
3312548;125865;collab;2001
3638747;3618381;collab;2009
13205983;60337;collab;2011
92955;1200530;collab;2004
12925057;1456480;collab;2004
1079004;794527;collab;2006
785284;571081;collab;2003
5201914;152072;collab;2010
3559730;53786510;collab;2008
3661660;2917734;collab;2009
21890776;545451;collab;2009
740002;6923352;collab;2007
818850;53698878;collab;2008
3577492;976195;collab;2010
1058778;651228;collab;2010
53401533;632279;collab;1985
96914;300056;collab;2000
1013864;49401;collab;2008
45323558;49939857;collab;1997
47190796;1522013;collab;2011
47667757;795368;collab;2004
2189317;436647;collab;2006
855543;1721354;collab;2005
53054903;58727;collab;1985
3823274;601959;collab;2007
49513591;50898066;collab;1985
3832284;553305;collab;2009
52523543;1225906;collab;2005
36495851;487782;collab;2004
3439731;1765874;collab;2004
414332;794527;collab;2005
4040114;2004084;collab;2009
524131;494965;collab;2010
1639560;1123207;collab;2006
3365456;540880;collab;2001
561063;3299730;collab;2002
704751;1327719;collab;2008
688801;12518928;collab;2007
1048079;93428;collab;2002
676309;1819604;collab;2009
561063;3549954;collab;2007
3629707;257916;collab;2009
18208852;1392090;collab;2009
3314520;385346;collab;2011
1499701;1079004;collab;2007
3393270;3377753;collab;2009
2437370;92955;collab;2010
3428277;1123088;collab;2008
601959;64290;collab;1994
754647;994018;collab;1998
632599;1765874;collab;2008
3571602;1370132;collab;2007
2975450;918710;collab;2011
3409297;1200530;collab;2006
3365360;42138;collab;1994
10832690;1053557;collab;2004
3484240;616265;collab;2006
3561475;3506898;collab;2008
53591624;3983755;collab;2011
194796;3322859;collab;2001
1126212;3313407;collab;2010
6892255;4040114;collab;2010
3472041;1628808;collab;2009
181077;5855042;collab;1999
1205470;181077;collab;1993
1695628;3462404;collab;2007
1803820;47201068;collab;2004
1125091;283361;collab;2009
188847;605848;collab;1996
1577705;50412641;collab;2002
1740038;1142659;collab;2008
27742;524131;collab;2011
3564951;55177847;collab;2008
17902638;40419197;collab;2000
232583;53601640;collab;1987
417069;755515;collab;2006
7521;3629694;collab;2009
3832258;3526787;collab;2009
3829656;784352;collab;2011
936923;52290693;collab;2004
566838;707139;collab;2011
2078186;358294;collab;2003
3365307;1049568;collab;2002
3629706;1456480;collab;2008
6090;1598769;collab;2011
3629717;1819604;collab;2010
2282500;59042;collab;2000
810078;377922;collab;2007
19525;445271;collab;2005
3616636;136487;collab;2010
1151530;755515;collab;2010
1142659;44685;collab;2003
224552;386363;collab;1991
436123;49256218;collab;1997
763625;169566;collab;2011
199499;10878476;collab;2011
1618625;384301;collab;2004
3783703;560420;collab;2008
3549946;4689358;collab;2008
1479429;1399202;collab;2011
3365364;3333413;collab;1989
9429566;134086;collab;2010
1573733;3556501;collab;2010
1356251;1343887;collab;1999
169069;3983755;collab;2010
1573733;3335145;collab;2011
563443;464355;collab;2008
3174077;56637716;collab;1982
18046451;417545;collab;2000
3349370;1140946;collab;2008
662803;3823274;collab;2001
853868;3365354;collab;2000
676309;1123088;collab;2009
49939857;3079338;collab;1995
295017;1536874;collab;1996
1053557;755515;collab;2004
1026865;2343768;collab;2009
689320;2263719;collab;2010
436647;32909;collab;2000
2976916;1399202;collab;2011
2034264;553305;collab;2007
1749648;994018;collab;2003
1551043;40419564;collab;2008
53307089;494965;collab;2008
3635892;3571616;collab;2009
8017528;1263828;collab;2010
1165461;1765874;collab;2011
18109728;1903859;collab;2008
3335145;2652515;collab;2011
461035;114000;collab;1985
828434;831237;collab;1993
115555;757952;collab;2004
3564564;2652515;collab;2011
967515;753069;collab;2004
3507709;1109340;collab;2008
915593;442978;collab;2007
21997;53518316;collab;2008
17992362;846388;collab;2007
620116;3629716;collab;2010
1379912;3365369;collab;1992
688801;1819604;collab;2009
1536874;359865;collab;1999
3635892;3508597;collab;2011
3607548;50293022;collab;2011
1662749;33342;collab;2000
1397937;1123088;collab;2010
584277;55194451;collab;1976
1200530;602265;collab;2004
3643460;676309;collab;2009
846388;386032;collab;2008
1710746;3322859;collab;2007
50992913;1219483;collab;1982
12518928;605848;collab;2004
40419186;790244;collab;2000
2149865;734167;collab;2011
2702206;10490302;collab;2006
557751;2164557;collab;2004
936923;539230;collab;2004
53698797;1109340;collab;1999
1765874;53786510;collab;2000
728755;406798;collab;2000
3832274;3484675;collab;2009
755515;652039;collab;1998
3549954;2167811;collab;2007
305047;2298592;collab;2006
1399202;1845356;collab;2006
154490;1995279;collab;2007
53698797;48603799;collab;1999
3314520;1058778;collab;2011
348009;18206946;collab;2009
3459998;651228;collab;2011
84674;954490;collab;2000
605146;1628808;collab;1987
34063294;2280957;collab;2011
9612378;2241634;collab;2011
907095;1219483;collab;1988
1807506;1512881;collab;2006
10218990;50677792;collab;1981
552;2667717;collab;1988
2309290;149201;collab;2009
2320964;145518;collab;2007
1370029;210600;collab;2010
3560784;299484;collab;2011
2106748;921043;collab;2010
3566039;2241634;collab;2010
21997;22939480;collab;2008
3566146;52276208;collab;2008
298115;3313407;collab;2006
9431926;340666;collab;2010
2522756;2405870;collab;2008
623711;124480;collab;2001
875189;1780247;collab;2005
59042;53688303;collab;2008
3571617;191987;collab;2007
3629694;1499701;collab;2008
976195;1315774;collab;2010
256291;364422;collab;2009
53159713;1166274;collab;2000
3462402;40422604;collab;2005
1683900;1053557;collab;2002
790244;42138;collab;1993
708524;97170;collab;2003
1138939;603598;collab;1989
1730292;50666378;collab;1990
5842850;2131564;collab;1984
2689917;224552;collab;2005
134086;2389295;collab;2005
587345;386363;collab;1991
12518928;20544;collab;2009
40420994;1990966;collab;2002
40421372;42138;collab;1992
194796;662803;collab;2001
725620;1176051;collab;2001
1623165;602537;collab;2003
1208922;3690454;collab;2007
1780247;795368;collab;2002
731329;377690;collab;2007
915593;1467208;collab;2007
36706183;3559730;collab;2011
3365217;2667717;collab;1985
601959;937815;collab;2009
299484;2616261;collab;2009
10832690;954490;collab;2004
740002;1200530;collab;2007
3462402;18663599;collab;2005
361097;2247005;collab;2003
616265;2096458;collab;1994
3350496;1219483;collab;2003
1048079;1688876;collab;2004
3607548;3556509;collab;2011
3609934;3526787;collab;2009
688801;755515;collab;2001
1807506;3462403;collab;2007
954490;1628808;collab;2000
3832289;92804;collab;2009
65293;95516;collab;1999
459290;2052495;collab;2005
3365334;1309138;collab;1981
748886;755515;collab;1999
1265522;53659620;collab;1995
651512;755515;collab;2010
256291;1417835;collab;2009
42175;3371750;collab;2010
53554938;2078186;collab;2010
26526;33342;collab;2002
520332;740002;collab;2010
1935423;67040;collab;1998
3629706;2975450;collab;2008
1129425;52799925;collab;2002
3629694;351168;collab;2008
2314808;143212;collab;2003
379606;84674;collab;2010
673325;40422598;collab;2004
1488310;1714087;collab;2008
4212278;1695628;collab;2000
6822508;1818317;collab;1996
64545;146552;collab;2003
152072;63698;collab;2010
1769228;64290;collab;1997
12925057;385346;collab;2004
1995279;53635770;collab;2002
3832250;3564951;collab;2009
3629694;3632732;collab;2010
1053557;527569;collab;2003
2002962;3313407;collab;2009
3639437;261768;collab;2010
20544;180240;collab;2010
347930;1819604;collab;2011
55726596;92403;collab;1979
2262242;403145;collab;2010
3642481;2494162;collab;2009
403149;3335676;collab;2010
266758;1140946;collab;2001
903504;1695628;collab;2011
1351972;1819604;collab;2010
379385;1200530;collab;2006
1548517;9131967;collab;1990
1411009;233882;collab;2004
53402331;315058;collab;1990
1903859;1200159;collab;2003
1780247;1176051;collab;2002
1370029;145518;collab;2010
3635905;36495851;collab;2009
359050;608369;collab;1998
50239183;3526787;collab;2009
3661660;1140946;collab;2009
628230;257916;collab;1995
430541;55218508;collab;1996
385681;114228;collab;2000
34063339;61985;collab;2011
10832690;2263719;collab;1999
3317593;619732;collab;2011
459290;1253699;collab;2005
53130193;216355;collab;2004
854124;1769228;collab;1997
52475904;2667717;collab;1981
758524;1925409;collab;2002
724872;3641050;collab;2008
781239;3365295;collab;2009
47417593;1140946;collab;2011
50897485;976195;collab;2011
10223633;45909;collab;1992
1794430;56151671;collab;2008
795368;3005767;collab;2009
740002;53698797;collab;2009
1095257;3549917;collab;2009
1042959;135668;collab;2011
181077;10498782;collab;1988
1430543;53307089;collab;2011
746358;98177;collab;1976
21997;53094;collab;2005
732171;2164557;collab;2007
1818317;616265;collab;2004
21983973;708524;collab;2001
852431;59042;collab;2002
194796;981847;collab;2001
3485488;1200530;collab;2011
1656916;67040;collab;2000
16649;42210600;collab;2003
181077;994018;collab;1993
4791227;135948;collab;1982
2437370;1399202;collab;2011
1769228;97170;collab;2003
1959814;3744943;collab;2000
1151530;2689917;collab;2009
3349370;2343768;collab;2008
10521580;1737218;collab;2004
2665621;3313407;collab;2008
47366079;790244;collab;1994
3078696;2114277;collab;2010
3588144;1140946;collab;2007
1843723;1034757;collab;2004
3428277;7131;collab;2008
810133;35554435;collab;2010
10832690;436647;collab;2000
1695628;794527;collab;2007
1620001;879548;collab;2011
1963538;64290;collab;2000
1819604;524131;collab;2010
524131;19202;collab;2010
358294;390305;collab;2002
406798;571081;collab;1999
37132697;1991506;collab;1998
1818317;51449022;collab;2005
21890776;1111513;collab;2009
2175710;64290;collab;2003
55396940;40422591;collab;1993
893694;662803;collab;2003
3561475;115298;collab;2008
239137;1315774;collab;2010
236541;1123088;collab;2011
1176051;2167811;collab;1998
695126;52818972;collab;2008
731329;608369;collab;1985
229553;194796;collab;2002
19525;237743;collab;2005
1079004;1695628;collab;2006
1696949;2295139;collab;2011
599167;40422604;collab;2004
55726596;47652218;collab;1979
59267;115555;collab;2000
831237;226748;collab;1992
4436923;709853;collab;2010
763625;52197781;collab;2003
898125;545451;collab;2009
348009;1399202;collab;2009
1026865;1140946;collab;2009
56830108;1710871;collab;2004
2241634;22939480;collab;2009
402341;485160;collab;2011
78072;3079338;collab;1993
3485100;1141665;collab;2010
47180381;1990966;collab;2007
520332;3450212;collab;2010
2181032;2295139;collab;2004
135663;10559758;collab;1995
319174;794527;collab;2009
1545830;2274687;collab;2011
1911914;3322859;collab;2011
2021111;52286024;collab;1979
3619446;259224;collab;2010
708524;300056;collab;2000
3323433;2164557;collab;2011
2977718;61801;collab;2009
384014;54170929;collab;2007
1117178;540819;collab;1989
2149865;3559730;collab;2011
1054280;6923352;collab;2004
92804;6827392;collab;2011
795368;181077;collab;2000
3629722;1300174;collab;2011
756948;54557867;collab;2008
1560592;281152;collab;2000
1499701;6923352;collab;2007
3552786;340666;collab;2007
313514;53500288;collab;1996
160374;1536874;collab;1996
3641050;120308;collab;2007
508274;1628808;collab;1998
688801;502782;collab;2010
2114277;323890;collab;1999
2078186;56151671;collab;2002
436647;1695628;collab;2011
398888;332741;collab;2003
384014;177276;collab;2007
2114092;1142659;collab;2011
459290;893694;collab;2005
3579395;1200159;collab;2008
23153860;725620;collab;2002
2126906;92955;collab;2008
2263719;1370132;collab;2000
724872;2992739;collab;2008
9424424;1976936;collab;2010
1031524;1219483;collab;2010
1818317;1200530;collab;2011
781239;812183;collab;2010
359050;10497604;collab;2002
5925288;85018;collab;1981
726096;1329528;collab;2009
993605;26112;collab;2000
3635891;2241634;collab;2011
10706025;2689917;collab;2009
53591624;416961;collab;2010
287967;53450727;collab;2005
748886;705794;collab;1999
1526998;793899;collab;1997
10521580;628230;collab;2004
954490;84674;collab;2003
47527854;2181032;collab;2003
1818317;410331;collab;1999
42138;1127180;collab;2009
3365278;22843173;collab;1998
47638175;508274;collab;2002
552;3299730;collab;1990
494965;6923352;collab;2005
2462390;315058;collab;1990
3393270;668017;collab;2006
688801;601959;collab;2011
34117378;1109340;collab;2007
5730;403822;collab;2003
616265;257916;collab;2000
2665621;53307089;collab;2008
180240;957070;collab;2007
1780247;1200530;collab;2004
957070;10557191;collab;2006
1425548;448985;collab;2009
1695628;1995279;collab;2007
1623165;854124;collab;2003
375319;616265;collab;2011
3629713;3549946;collab;2008
660171;209615;collab;1998
2241634;2096458;collab;2009
384014;1200530;collab;2007
241200;314363;collab;1990
3106274;44685;collab;2010
1098028;3365274;collab;1976
9432009;41682;collab;2010
379606;601959;collab;2010
3832274;107801;collab;2009
592315;571081;collab;2001
1769228;140972;collab;1997
3365339;3174077;collab;1985
3635892;1765874;collab;2011
224552;10559758;collab;2002
1128738;10832690;collab;2006
59042;448985;collab;2008
18960884;755515;collab;2010
53493538;1108876;collab;2001
1786377;1765874;collab;2002
1374045;1498760;collab;1989
125865;1554243;collab;2001
1425548;1417835;collab;2005
3409131;2340309;collab;2006
3365224;21637031;collab;1990
2522756;287967;collab;2008
1466157;3545134;collab;2008
2914935;1943259;collab;2008
489816;852431;collab;2000
1232150;601959;collab;2003
316837;42296873;collab;2003
927949;417545;collab;2008
2175710;188847;collab;2003
1631408;3526901;collab;2011
3365218;53094898;collab;1981
55781627;3365490;collab;2011
299484;403149;collab;2010
3564951;2456426;collab;2008
3629710;1128738;collab;2008
52319344;237813;collab;2007
2114594;604144;collab;2011
1176515;18046451;collab;2011
67458;1740723;collab;1997
1329528;936807;collab;2008
1461050;540819;collab;1993
3642249;16649;collab;2011
1126212;812183;collab;2011
5331964;494965;collab;2011
403149;1791276;collab;2002
1095257;417545;collab;2002
51449022;1109340;collab;2004
314363;1455907;collab;1984
51181624;2247005;collab;2001
540819;53450727;collab;1990
12139702;9095805;collab;2001
266758;1034757;collab;1997
1126212;620116;collab;2011
1769228;47745330;collab;1997
332741;1265522;collab;2000
384301;1644999;collab;2009
1327835;1808203;collab;1989
976195;305047;collab;2011
483299;50677792;collab;1987
3635891;3576686;collab;2010
1329528;18206946;collab;2008
991049;266603;collab;2010
10832690;7131;collab;2009
3482117;995649;collab;2006
276064;1034029;collab;2007
1048079;2616261;collab;2004
55105366;1200530;collab;2006
3841503;3610517;collab;2011
1167135;1976936;collab;2010
403149;364422;collab;2010
738673;1560592;collab;2005
725620;9180183;collab;1995
1826743;633471;collab;2009
2122309;85018;collab;1985
688801;3571628;collab;2011
3370056;457138;collab;2011
53982076;1074967;collab;1982
50373782;937815;collab;2008
1818317;10555029;collab;1999
1349960;2295139;collab;2000
3838781;502782;collab;2010
47495661;42210600;collab;2001
442978;1077618;collab;2006
349173;1772051;collab;1997
46356;18046451;collab;1994
3561475;40422597;collab;2008
47495661;320403;collab;2001
47740307;625296;collab;2001
634165;10832690;collab;1999
758068;390956;collab;2006
571257;10498782;collab;1988
2132980;3629706;collab;2010
3635893;709853;collab;2009
3485488;740002;collab;2011
9432002;3313407;collab;2010
3577492;12518928;collab;2012
724872;3507709;collab;2008
3629705;801921;collab;2008
1536874;70423;collab;2000
687366;1109340;collab;2011
1351972;1225906;collab;2010
337984;1628808;collab;2004
3632732;781239;collab;2010
731329;1894512;collab;2004
276064;393752;collab;2007
3832289;3530349;collab;2008
1131742;121011;collab;2001
539230;498250;collab;2004
358294;790244;collab;1998
21997;2096458;collab;2008
688801;47471283;collab;2007
3350496;994018;collab;2003
529414;860414;collab;2002
2298592;8748431;collab;2009
53591624;53554938;collab;2011
3325629;2497129;collab;1999
70423;755515;collab;2007
17927374;2181032;collab;2003
12131737;20544;collab;2011
588349;616265;collab;2004
22922143;153119;collab;1998
47415191;515313;collab;2006
53137515;175176;collab;1981
2834613;1875230;collab;2010
616265;3610517;collab;2010
981847;1359568;collab;2000
368747;6829944;collab;2009
630735;299610;collab;2005
2652515;92804;collab;2010
119125;616265;collab;2008
52319344;1406793;collab;2007
18046451;145518;collab;2003
525592;1955606;collab;2004
674550;45323558;collab;1998
688801;1399202;collab;2011
3635891;1176515;collab;2010
3552915;1199500;collab;2009
817956;1572145;collab;2003
3365456;3365365;collab;2001
1623165;7158557;collab;2004
6090;3626301;collab;2011
362936;1990966;collab;2011
3832289;709570;collab;2010
3616121;1030896;collab;2010
361097;2247005;collab;2007
21890776;1780247;collab;2009
1334335;253283;collab;2011
49939857;851440;collab;1998
40422591;1488310;collab;1990
51599466;47527854;collab;2007
239200;1628808;collab;1994
393263;17904819;collab;2003
12832827;2624870;collab;2009
2437370;3377755;collab;2009
588349;1482639;collab;2004
1123088;22939480;collab;2006
1399202;947248;collab;2005
1479429;1800649;collab;2011
312546;1993470;collab;2005
494965;21997;collab;2007
3017784;513831;collab;2010
3365228;1903859;collab;2000
6822508;851440;collab;1996
601959;3313119;collab;1999
1631408;3546571;collab;2011
603879;1954738;collab;1996
22663565;502782;collab;2009
1819604;755515;collab;2010
145518;10832690;collab;2008
3365282;54300363;collab;1981
54544458;625296;collab;2011
688801;3439731;collab;2007
49956052;1379912;collab;1985
421979;1903859;collab;1994
1351972;817180;collab;2010
320056;386363;collab;1987
3635892;3310252;collab;2011
42138;1695628;collab;2007
110282;10510665;collab;2002
1015802;601959;collab;2006
3629706;595872;collab;2009
177276;54170929;collab;2005
1536123;54170929;collab;2010
3462407;125865;collab;2005
1053557;417545;collab;2004
9429566;2624870;collab;2010
1973531;23483938;collab;2003
3629722;1500881;collab;2011
3544515;957070;collab;2009
3645752;42138;collab;2009
623711;3350496;collab;2005
2263719;1693600;collab;2008
6923352;50412641;collab;1999
3365406;773154;collab;2003
12518928;724623;collab;2008
918989;616265;collab;2007
2437370;601959;collab;2011
3629722;3635869;collab;2011
1425674;3549946;collab;2011
403149;1417835;collab;2010
130210;482936;collab;2007
3542318;831237;collab;2011
1628808;794527;collab;2002
1493033;489816;collab;2004
3823274;1818317;collab;2007
79984;316437;collab;2006
611612;3549946;collab;2011
3635893;976195;collab;2010
616265;3325711;collab;1997
898125;53659620;collab;2003
1332785;1219483;collab;1989
54587358;584277;collab;1981
1980991;299610;collab;1997
275506;1305564;collab;1993
1329528;26526;collab;2003
1533004;1370457;collab;2002
3993182;783802;collab;2011
831237;244466;collab;2001
1058778;1993470;collab;2003
18489316;2769047;collab;2010
143212;2186716;collab;2003
9432024;1784695;collab;2010
379606;522060;collab;1993
51670;3368569;collab;2009
386271;408389;collab;2005
1819604;755515;collab;2007
10542538;1219483;collab;1981
12716274;673325;collab;2001
36706183;1079004;collab;2011
2343319;16649;collab;2008
602537;1521045;collab;1981
489816;1780247;collab;2002
689320;3643460;collab;2010
688801;3635892;collab;2011
369656;1370457;collab;2003
256291;3335676;collab;2009
3317401;1995279;collab;2002
927949;236731;collab;2008
135948;55726596;collab;1981
340666;257916;collab;2007
1819426;1786377;collab;2005
2060748;21997;collab;2008
1807506;18663599;collab;2005
1536874;53659620;collab;2007
227545;146552;collab;2002
2782844;3556501;collab;2011
10545203;2065047;collab;1978
3639437;933536;collab;2010
3661660;2343768;collab;2009
724623;3365490;collab;2007
52816203;1548385;collab;2006
1695830;64290;collab;2000
53607159;9180183;collab;1996
1818317;410331;collab;1998
379385;6923352;collab;2006
1236476;10832690;collab;1999
134086;1402107;collab;2008
1826743;96424;collab;2011
3484240;1091008;collab;2006
3571606;47715902;collab;2007
3639437;907634;collab;2010
2002962;50412641;collab;2009
53599278;628230;collab;1996
7396712;10832690;collab;2011
954490;561596;collab;2000
4254389;51221408;collab;1985
65290;20544;collab;2006
266758;81385;collab;2001
1688876;252990;collab;1995
1784695;57153;collab;2010
624861;563937;collab;2001
3629694;3539699;collab;2008
1315774;47527854;collab;2008
1095257;1206464;collab;2002
1815433;524350;collab;1997
2972930;1315774;collab;2009
18046451;53659620;collab;1995
1332785;2338139;collab;1989
21029;3079879;collab;2003
3643460;3397492;collab;2010
386271;55058764;collab;2005
50152667;135948;collab;1982
811813;305047;collab;2007
2437370;1819604;collab;2009
3485488;2263719;collab;2009
2342989;1087656;collab;2011
10832690;494965;collab;2009
3708662;18633234;collab;2007
53517215;1327835;collab;1988
20544;494965;collab;2010
3832289;10695897;collab;2009
21997;6126190;collab;2011
3643460;625296;collab;2009
731329;1628808;collab;2004
1485158;494785;collab;1995
561063;47340956;collab;1996
537351;1737218;collab;2006
10832690;954490;collab;2003
3330274;12651651;collab;1982
40421116;7817503;collab;1996
3106274;137638;collab;2011
83891;719117;collab;1995
11558935;9429566;collab;2010
619732;1730113;collab;2006
976195;3632732;collab;2010
9432059;9231692;collab;2012
1688876;1461050;collab;2009
51265304;51260575;collab;2009
3571620;601959;collab;2007
3616121;4040114;collab;2010
9112018;1662749;collab;2004
1740723;1494848;collab;1995
53679202;668017;collab;2002
3591134;3348354;collab;2008
377922;257916;collab;2007
61801;56623483;collab;1982
954490;53506045;collab;1993
34063294;9429566;collab;2011
3629705;879548;collab;2008
127219;47271543;collab;2004
537351;92955;collab;2010
3983755;53554938;collab;2011
2437370;988175;collab;2009
1125091;1173913;collab;2009
1329528;993605;collab;2008
47237628;275568;collab;2003
6090;1109340;collab;2011
3506430;795368;collab;2008
1911914;384014;collab;2011
1646152;595872;collab;2011
2917734;810133;collab;2011
283611;385931;collab;2003
1359568;114228;collab;2003
3629706;3549917;collab;2010
1225906;3365279;collab;2004
957070;52799925;collab;2006
58809;918710;collab;2010
359050;1737218;collab;1998
1327835;1358719;collab;1982
53402331;53159713;collab;1990
