source;target;layer
305047;53786510;collab
55175564;1147403;collab
3629710;54170929;collab
1623165;708524;collab
181077;103922;collab
1818317;2972930;collab
390017;185676;collab
10521580;53761504;collab
2114277;2677845;collab
9126447;2164557;collab
17997458;3549915;collab
53157704;160374;collab
3379355;994018;collab
2263719;1993470;collab
2122309;994018;collab
390017;220129;collab
342551;955657;collab
18461058;310405;collab
633471;1058778;collab
1417835;2229939;collab
229417;58727;collab
10517400;51024786;collab
1499701;3308035;collab
34063335;3537479;collab
1155193;1485158;collab
2689917;1922927;collab
7521;2343319;collab
56648954;55932852;collab
695126;1894512;collab
12444;1730113;collab
26526;384014;collab
239200;3299730;collab
403149;2854209;collab
1628808;794527;collab
384301;957070;collab
1417835;53307089;collab
1633442;3365206;collab
220129;1780247;collab
920685;852431;collab
508274;54814826;collab
2041910;7367383;collab
17950542;304920;collab
1233948;1894512;collab
3459998;630735;collab
1845460;17927337;collab
3564951;3506898;collab
3539699;1542517;collab
3571628;10878479;collab
97124;1927180;collab
561063;608369;collab
248041;1976061;collab
1123088;1411009;collab
10223633;55348274;collab
48636717;1993470;collab
53982076;17973864;collab
8017529;868730;collab
573577;316437;collab
1710871;1902888;collab
543701;229471;collab
40420210;9180183;collab
19202;1993470;collab
51072914;1423759;collab
1633442;1194029;collab
169566;349173;collab
9140986;244466;collab
2178454;10447053;collab
740002;3317730;collab
1688876;42138;collab
53663192;261768;collab
1417835;50412641;collab
642060;1310109;collab
17902638;54170929;collab
2004084;3616636;collab
2034264;10513013;collab
54544458;84674;collab
715211;3329404;collab
9149894;1123088;collab
17626;1536874;collab
3832253;1819604;collab
6824121;10506252;collab
3526901;1417835;collab
2421538;40422588;collab
47562251;542645;collab
1521225;59042;collab
1225906;1434215;collab
43396392;257916;collab
18046451;738673;collab
1208922;59042;collab
898125;154743;collab
2689917;3571628;collab
9228945;10223643;collab
1116167;2164050;collab
53698073;3313407;collab
199499;18046451;collab
3399414;46911587;collab
1373751;275506;collab
56740859;1902888;collab
3536258;2624870;collab
1466157;3509315;collab
517110;3571628;collab
1434215;466115;collab
181077;22304884;collab
1479429;1356251;collab
2335802;209615;collab
500359;1717780;collab
651512;981847;collab
3549946;2038381;collab
668017;21754404;collab
561063;1954738;collab
53053318;688801;collab
3638747;678043;collab
1143638;53192;collab
1031524;445271;collab
1356251;583330;collab
3504828;601959;collab
47734866;2431681;collab
84472;1031845;collab
1370132;55271408;collab
53591624;403822;collab
6090;312700;collab
2109588;16649;collab
53554938;34117378;collab
663683;1645842;collab
1695830;624861;collab
1520575;1168127;collab
2358027;3365234;collab
55396940;47707899;collab
10553656;1633442;collab
385931;59042;collab
34063290;21997;collab
407713;52290693;collab
53498645;53578978;collab
1819426;1200530;collab
57153;1548517;collab
1411009;2181032;collab
1116167;1176051;collab
689120;1219483;collab
3365204;851440;collab
1053557;426596;collab
21997;1123088;collab
3635892;2060748;collab
1911914;1119998;collab
152072;1456480;collab
502782;3365308;collab
3013450;976195;collab
55175564;3365400;collab
1990966;459308;collab
3838781;2624870;collab
18109727;1014928;collab
1013864;1780247;collab
1709164;561596;collab
1826743;976195;collab
359050;17897922;collab
3530299;1894512;collab
359050;257916;collab
55840553;2323706;collab
53094;110999;collab
1631408;1456480;collab
167442;1049568;collab
494965;54170929;collab
3365364;129563;collab
1695628;662803;collab
563443;55175564;collab
9236988;1819604;collab
3358021;93428;collab
21997;42211270;collab
2456978;1461050;collab
3564951;1993470;collab
10220044;1356259;collab
358294;47491678;collab
1219483;181077;collab
1212598;1875230;collab
10896622;494965;collab
537351;257916;collab
634165;616265;collab
1478072;52560;collab
3396174;122030;collab
1628808;384014;collab
489816;145518;collab
92955;53698797;collab
1123207;1710746;collab
9432002;494965;collab
3365479;1156820;collab
10902020;1200530;collab
586915;3362489;collab
3485488;1128738;collab
1138939;53781155;collab
1591899;2164557;collab
300056;1219483;collab
1710746;384014;collab
83891;1138939;collab
237813;662803;collab
3579489;134086;collab
47192410;543701;collab
18046451;23356016;collab
1456480;6923352;collab
2295139;1737218;collab
491458;53067561;collab
708524;1769228;collab
1450958;145518;collab
1417835;59042;collab
1108299;960281;collab
2547633;4115898;collab
1520745;361097;collab
2186716;1461050;collab
78072;1497543;collab
1382258;1108299;collab
1894512;384014;collab
2263719;486954;collab
438079;10545203;collab
1536874;2033428;collab
907095;10497604;collab
625296;509724;collab
2023353;426596;collab
7521;1559089;collab
1123088;345165;collab
1311173;832491;collab
1315774;47527854;collab
1536874;1902888;collab
2002962;1109340;collab
403149;2298592;collab
2437370;502782;collab
1520745;2247005;collab
852431;1536874;collab
1752465;2164050;collab
107801;152352;collab
47350243;384014;collab
3620966;1903859;collab
763625;616265;collab
642060;53761504;collab
1818317;1245783;collab
1940208;426596;collab
10832690;3314566;collab
390305;358294;collab
1126212;2295139;collab
1417835;1410373;collab
384014;1894512;collab
305047;6923352;collab
3832286;154743;collab
3576684;724623;collab
3629733;1123088;collab
4395948;453746;collab
1358916;12832827;collab
137638;3571615;collab
846388;3316164;collab
220129;1554243;collab
734167;976195;collab
47271543;933536;collab
2340309;50412641;collab
976195;169566;collab
731329;561063;collab
831237;10517391;collab
56540832;2017504;collab
867633;1628808;collab
740002;3365406;collab
795368;966585;collab
994018;50412641;collab
1554243;47224638;collab
361097;2280957;collab
34061757;1819604;collab
1376160;122030;collab
1646476;52489;collab
15179;1993470;collab
2702206;893694;collab
1765874;257916;collab
3365224;50666378;collab
755515;2624870;collab
154743;1536874;collab
12518928;688801;collab
3377755;688801;collab
1065668;408891;collab
494965;755515;collab
683706;406243;collab
1695628;981847;collab
2004084;1990966;collab
1004199;229270;collab
566838;348338;collab
21997;257916;collab
1548517;1628808;collab
3395434;1199500;collab
764117;181077;collab
1826743;134086;collab
286931;541517;collab
3832289;859601;collab
1140946;287967;collab
1361575;45178;collab
808963;1461050;collab
385681;1780247;collab
16649;601959;collab
3462420;1142659;collab
454803;1148867;collab
55175699;53189740;collab
3409297;53698797;collab
47545087;384014;collab
304424;1536874;collab
819325;2689917;collab
3571609;623711;collab
47475723;1780247;collab
18046451;625296;collab
80674;1123088;collab
1709164;1780247;collab
795368;632279;collab
3347950;379416;collab
53591624;403822;collab
3629748;390956;collab
1628808;220129;collab
3629706;436647;collab
1780247;1370132;collab
55175564;464355;collab
57153;1818317;collab
2834613;991049;collab
3201636;55870304;collab
6090;1770271;collab
10879335;709853;collab
1087377;954490;collab
426596;755515;collab
12518928;53510019;collab
85018;2708499;collab
1258987;3339198;collab
181077;438079;collab
12716274;954490;collab
1463164;417545;collab
3829656;261714;collab
2975450;53307089;collab
53094;3313313;collab
55840553;7686455;collab
810133;403145;collab
6822276;47613601;collab
3067295;831237;collab
3122979;78072;collab
132193;1780247;collab
3322859;54170929;collab
1695830;3129332;collab
10883801;257916;collab
734572;625296;collab
3860428;133710;collab
12716274;96914;collab
1117178;3349395;collab
1200159;2247005;collab
2476051;6829944;collab
2263719;1456480;collab
734167;3377149;collab
2320964;18046451;collab
56828080;3539699;collab
868730;320403;collab
50239183;695126;collab
52099262;1500881;collab
2295139;494965;collab
110282;2065047;collab
386672;1903859;collab
632599;266603;collab
1646476;3341885;collab
740002;406798;collab
3616636;20544;collab
561970;2667717;collab
177276;616265;collab
3626301;1737218;collab
819325;2689917;collab
448985;244466;collab
9432025;21997;collab
145518;2295139;collab
509373;1626534;collab
17950542;1166274;collab
134086;1370132;collab
936378;53786510;collab
1493033;332741;collab
403149;1123088;collab
561063;52427114;collab
3832261;1243408;collab
181077;994018;collab
13205983;689320;collab
3566350;494965;collab
3365278;1108299;collab
37078;54170929;collab
6923352;1140946;collab
2325655;64290;collab
1327835;53578978;collab
408891;185676;collab
34063326;53192;collab
2297826;409393;collab
1370132;683784;collab
2210758;50677792;collab
1417835;1598769;collab
840008;236800;collab
179886;21997;collab
137638;3377755;collab
3653216;21997;collab
10878479;856095;collab
840035;494785;collab
12687154;1500881;collab
763625;1310109;collab
2122309;61985;collab
795368;300644;collab
588349;3629706;collab
1263617;67090;collab
5766956;42175;collab
149997;2320964;collab
2518238;92804;collab
10715604;64290;collab
1691800;312350;collab
696825;781239;collab
1509545;3365250;collab
1361575;1500881;collab
92804;281152;collab
127219;933536;collab
1461050;1628808;collab
3544435;494965;collab
3629750;1780247;collab
3005767;361097;collab
9149894;2114277;collab
1053557;625296;collab
1122091;417545;collab
1852948;278588;collab
1973531;794527;collab
976195;54170929;collab
5031278;45178;collab
3365380;851440;collab
1500881;954490;collab
5201914;9429566;collab
393263;3312548;collab
2144678;26112;collab
795368;2167811;collab
1358916;3313407;collab
56875363;918710;collab
1094428;3317730;collab
719981;70911;collab
3545865;2298592;collab
19202;494965;collab
6923352;1695628;collab
1328979;1363826;collab
3629727;42296873;collab
359050;53890749;collab
53192;253283;collab
47225740;15534;collab
494965;2114277;collab
2437370;1554243;collab
601959;3377755;collab
1745056;257916;collab
47527854;3067295;collab
1499701;3539699;collab
2924426;341294;collab
55870604;3365213;collab
1184516;3313407;collab
55396940;9180183;collab
53402331;22307522;collab
1466157;10878484;collab
10832690;527569;collab
3365388;22304884;collab
13421357;2295139;collab
299610;3365270;collab
3609934;695126;collab
3355369;586915;collab
98177;357786;collab
385931;795368;collab
34063274;604144;collab
1695830;624861;collab
3365218;2708499;collab
3505220;509724;collab
2689917;1819604;collab
53416656;3549915;collab
688801;2335802;collab
566838;331022;collab
379606;1208922;collab
3355369;2843518;collab
59042;53779185;collab
448985;3238176;collab
345165;2114277;collab
92403;1307643;collab
